"90平米  ","2室2厅  ","4200","furong"
"110平米  ","3室1厅  ","3000","furong"
"65平米  ","2室2厅  ","2200","furong"
"90平米  ","2室2厅  ","2800","furong"
"160平米  ","3室1厅  ","4200","furong"
"72平米  ","2室2厅  ","2300","furong"
"73平米  ","2室2厅  ","2880","furong"
"92平米  ","2室2厅  ","1800","furong"
"125平米  ","3室2厅  ","3200","furong"
"88平米  ","2室1厅  ","2800","furong"
"142平米  ","4室2厅  ","4500","furong"
"95平米  ","1室0厅  ","5000","furong"
"75平米  ","2室1厅  ","2200","furong"
"138平米  ","3室2厅  ","2500","furong"
"68平米  ","1室1厅  ","1600","furong"
"132平米  ","3室1厅  ","3500","furong"
"90平米  ","3室2厅  ","2400","furong"
"68平米  ","2室1厅  ","1450","furong"
"68平米  ","2室1厅  ","1450","furong"
"92平米  ","3室2厅  ","3600","furong"
"89平米  ","3室1厅  ","1200","furong"
"120平米  ","3室2厅  ","2000","furong"
"73平米  ","2室2厅  ","2880","furong"
"160平米  ","3室1厅  ","4200","furong"
"77平米  ","3室1厅  ","2200","furong"
"92平米  ","2室2厅  ","1800","furong"
"145平米  ","4室1厅  ","6000","furong"
"140平米  ","3室2厅  ","3300","furong"
"125平米  ","3室2厅  ","3200","furong"
"88平米  ","2室1厅  ","2800","furong"
"142平米  ","4室2厅  ","4500","furong"
"95平米  ","1室0厅  ","5000","furong"
"75平米  ","2室1厅  ","2200","furong"
"138平米  ","3室2厅  ","2500","furong"
"68平米  ","1室1厅  ","1600","furong"
"90平米  ","3室2厅  ","2400","furong"
"132平米  ","3室1厅  ","3500","furong"
"68平米  ","2室1厅  ","1450","furong"
"68平米  ","2室1厅  ","1450","furong"
"92平米  ","3室2厅  ","3600","furong"
"123平米  ","3室2厅  ","4500","furong"
"85平米  ","2室1厅  ","3500","kaifu"
"53平米  ","1室1厅  ","2400","kaifu"
"53平米  ","1室1厅  ","2600","kaifu"
"50平米  ","1室1厅  ","2500","kaifu"
"90平米  ","3室2厅  ","2600","kaifu"
"90平米  ","2室2厅  ","2000","kaifu"
"145平米  ","4室2厅  ","6500","kaifu"
"131平米  ","4室2厅  ","3600","kaifu"
"76平米  ","2室1厅  ","2400","kaifu"
"200平米  ","4室1厅  ","3000","kaifu"
"96平米  ","3室2厅  ","2500","kaifu"
"127平米  ","3室2厅  ","2700","kaifu"
"45平米  ","1室0厅  ","1650","kaifu"
"88平米  ","2室1厅  ","3000","kaifu"
"106平米  ","3室1厅  ","4000","kaifu"
"136平米  ","4室2厅  ","6500","kaifu"
"77平米  ","2室1厅  ","2500","kaifu"
"50平米  ","1室1厅  ","2250","kaifu"
"50平米  ","1室1厅  ","2500","kaifu"
"50平米  ","1室1厅  ","2400","kaifu"
"130平米  ","3室2厅  ","3000","kaifu"
"199平米  ","4室1厅  ","7500","kaifu"
"90平米  ","3室1厅  ","2600","kaifu"
"123平米  ","3室2厅  ","2800","kaifu"
"92平米  ","2室2厅  ","2800","kaifu"
"260平米  ","4室1厅  ","7500","kaifu"
"133平米  ","3室2厅  ","3600","kaifu"
"89平米  ","3室1厅  ","2800","kaifu"
"90平米  ","2室1厅  ","3500","kaifu"
"131平米  ","3室2厅  ","3200","kaifu"
"202平米  ","4室2厅  ","5000","kaifu"
"140平米  ","3室2厅  ","3280","kaifu"
"169平米  ","4室2厅  ","5500","kaifu"
"89平米  ","2室1厅  ","2300","kaifu"
"187平米  ","3室2厅  ","4000","kaifu"
"90平米  ","3室2厅  ","2700","kaifu"
"93平米  ","2室1厅  ","3500","kaifu"
"53平米  ","1室1厅  ","2500","kaifu"
"130平米  ","3室2厅  ","3300","kaifu"
"95平米  ","3室2厅  ","2800","tianxin"
"120平米  ","3室2厅  ","3300","tianxin"
"82平米  ","3室2厅  ","2000","tianxin"
"90平米  ","2室2厅  ","2400","tianxin"
"54平米  ","2室1厅  ","2300","tianxin"
"145平米  ","4室2厅  ","3200","tianxin"
"92平米  ","2室1厅  ","2000","tianxin"
"65平米  ","1室1厅  ","1900","tianxin"
"55平米  ","1室1厅  ","1500","tianxin"
"53平米  ","2室1厅  ","2200","tianxin"
"155平米  ","6室2厅  ","5000","tianxin"
"143平米  ","2室2厅  ","2600","tianxin"
"86平米  ","2室2厅  ","2600","tianxin"
"88平米  ","3室1厅  ","3200","tianxin"
"60平米  ","1室1厅  ","1600","tianxin"
"138平米  ","3室2厅  ","2500","tianxin"
"137平米  ","3室2厅  ","2500","tianxin"
"86平米  ","2室2厅  ","2600","tianxin"
"143平米  ","2室2厅  ","2600","tianxin"
"136平米  ","3室2厅  ","3700","tianxin"
"97平米  ","3室2厅  ","2200","tianxin"
"138平米  ","3室2厅  ","2500","tianxin"
"55平米  ","1室1厅  ","1500","tianxin"
"88平米  ","3室1厅  ","3200","tianxin"
"131平米  ","3室2厅  ","3000","tianxin"
"120平米  ","3室2厅  ","3000","tianxin"
"90平米  ","2室1厅  ","2300","tianxin"
"35平米  ","1室0厅  ","1450","tianxin"
"145平米  ","3室2厅  ","3500","tianxin"
"75平米  ","2室2厅  ","3500","tianxin"
"252平米  ","4室2厅  ","15000","tianxin"
"50平米  ","1室1厅  ","2250","tianxin"
"50平米  ","1室1厅  ","1750","tianxin"
"145平米  ","4室2厅  ","3500","tianxin"
"109平米  ","3室2厅  ","3000","tianxin"
"160平米  ","3室2厅  ","3200","tianxin"
"54平米  ","1室1厅  ","1700","yuelu"
"153平米  ","4室2厅  ","1800","yuelu"
"130平米  ","3室2厅  ","3000","yuelu"
"89平米  ","3室2厅  ","3000","yuelu"
"107平米  ","3室2厅  ","2500","yuelu"
"135平米  ","3室2厅  ","1900","yuelu"
"96平米  ","3室2厅  ","2200","yuelu"
"125平米  ","3室2厅  ","3000","yuelu"
"135平米  ","4室2厅  ","2700","yuelu"
"129平米  ","3室2厅  ","3000","yuelu"
"118平米  ","3室2厅  ","2900","yuelu"
"123平米  ","3室2厅  ","3200","yuelu"
"96平米  ","3室2厅  ","2600","yuelu"
"105平米  ","2室2厅  ","4000","yuelu"
"45平米  ","1室1厅  ","1400","yuelu"
"89平米  ","3室1厅  ","3000","yuelu"
"48平米  ","1室0厅  ","2500","yuelu"
"47平米  ","1室0厅  ","2000","yuelu"
"50平米  ","2室1厅  ","2000","yuelu"
"87平米  ","2室1厅  ","2200","yuelu"
"100平米  ","3室1厅  ","2100","yuelu"
"100平米  ","3室2厅  ","2600","yuelu"
"130平米  ","3室2厅  ","2800","yuelu"
"120平米  ","3室2厅  ","3200","yuelu"
"131平米  ","3室1厅  ","3500","yuelu"
"39平米  ","1室0厅  ","1800","yuelu"
"151平米  ","4室2厅  ","2500","yuelu"
"70平米  ","2室2厅  ","2400","yuelu"
"140平米  ","3室2厅  ","2200","yuelu"
"94平米  ","3室2厅  ","3500","yuelu"
"107平米  ","3室2厅  ","2500","yuelu"
"83平米  ","2室1厅  ","2000","yuelu"
"85平米  ","2室2厅  ","2000","yuelu"
"98平米  ","2室2厅  ","3500","yuelu"
"93平米  ","3室2厅  ","2600","yuelu"
"138平米  ","3室2厅  ","1800","yuelu"
"115平米  ","3室2厅  ","2800","yuelu"
"139平米  ","3室2厅  ","2800","yuelu"
"106平米  ","3室2厅  ","3000","yuelu"
"141平米  ","3室2厅  ","4300","yuelu"
"41平米  ","1室1厅  ","1800","yuelu"
"92平米  ","2室2厅  ","2300","yuelu"
"88平米  ","2室2厅  ","2500","yuelu"
"118平米  ","4室2厅  ","4600","yuelu"
"143平米  ","3室2厅  ","3500","yuelu"
"108平米  ","3室2厅  ","2300","yuelu"
"89平米  ","3室2厅  ","1800","yuelu"
"33平米  ","1室1厅  ","1800","yuelu"
"94平米  ","3室2厅  ","3000","yuelu"
"40平米  ","1室1厅  ","1800","yuelu"
"43平米  ","1室1厅  ","1500","yuelu"
"82平米  ","2室1厅  ","2700","yuelu"
"39平米  ","1室0厅  ","1700","yuhua"
"45平米  ","1室1厅  ","1800","yuhua"
"80平米  ","2室2厅  ","2200","yuhua"
"101平米  ","3室2厅  ","2600","yuhua"
"142平米  ","4室2厅  ","2500","yuhua"
"101平米  ","2室2厅  ","2500","yuhua"
"110平米  ","3室1厅  ","3000","yuhua"
"133平米  ","3室2厅  ","3400","yuhua"
"46平米  ","2室1厅  ","2600","yuhua"
"85平米  ","2室1厅  ","2600","yuhua"
"46平米  ","1室1厅  ","2200","yuhua"
"56平米  ","1室1厅  ","1300","yuhua"
"169平米  ","4室2厅  ","4300","yuhua"
"90平米  ","3室2厅  ","2500","yuhua"
"99平米  ","3室2厅  ","2800","yuhua"
"170平米  ","4室2厅  ","3500","yuhua"
"242平米  ","5室3厅  ","9000","yuhua"
"128平米  ","3室2厅  ","3000","yuhua"
"80平米  ","2室2厅  ","2400","yuhua"
"42平米  ","1室1厅  ","1600","yuhua"
"130平米  ","3室2厅  ","2600","yuhua"
"95平米  ","3室1厅  ","2000","yuhua"
"50平米  ","1室1厅  ","1800","yuhua"
"64平米  ","2室1厅  ","1400","yuhua"
"62平米  ","2室1厅  ","2000","yuhua"
"89平米  ","2室2厅  ","2100","yuhua"
"90平米  ","3室2厅  ","1800","yuhua"
"91平米  ","3室2厅  ","3400","yuhua"
"108平米  ","3室2厅  ","2700","yuhua"
"190平米  ","4室2厅  ","5500","yuhua"
"79平米  ","3室1厅  ","2600","yuhua"
"92平米  ","4室2厅  ","3500","yuhua"
"147平米  ","4室2厅  ","4200","yuhua"
"99平米  ","3室2厅  ","2100","yuhua"
"45平米  ","1室1厅  ","1900","yuhua"
"133平米  ","3室2厅  ","2100","yuhua"
"89平米  ","3室2厅  ","2500","yuhua"
"198平米  ","5室2厅  ","4500","yuhua"
"90平米  ","3室1厅  ","3100","yuhua"
"89平米  ","2室1厅  ","2400","yuhua"
"110平米  ","3室2厅  ","2100","yuhua"
"90平米  ","3室2厅  ","2800","yuhua"
"140平米  ","3室2厅  ","2600","yuhua"
"140平米  ","4室1厅  ","3200","yuhua"
"65平米  ","2室2厅  ","2200","furong"
"160平米  ","3室1厅  ","4200","furong"
"77平米  ","3室1厅  ","2200","furong"
"72平米  ","2室2厅  ","2300","furong"
"90平米  ","2室2厅  ","2800","furong"
"90平米  ","2室2厅  ","4200","furong"
"73平米  ","2室2厅  ","2880","furong"
"92平米  ","2室2厅  ","1800","furong"
"125平米  ","3室2厅  ","3200","furong"
"88平米  ","2室1厅  ","2800","furong"
"142平米  ","4室2厅  ","4500","furong"
"95平米  ","1室0厅  ","5000","furong"
"75平米  ","2室1厅  ","2200","furong"
"138平米  ","3室2厅  ","2500","furong"
"68平米  ","1室1厅  ","1600","furong"
"90平米  ","3室2厅  ","2400","furong"
"132平米  ","3室1厅  ","3500","furong"
"68平米  ","2室1厅  ","1450","furong"
"68平米  ","2室1厅  ","1450","furong"
"92平米  ","3室2厅  ","3600","furong"
"123平米  ","3室2厅  ","4500","furong"
"85平米  ","2室1厅  ","3500","kaifu"
"53平米  ","1室1厅  ","2400","kaifu"
"53平米  ","1室1厅  ","2600","kaifu"
"50平米  ","1室1厅  ","2500","kaifu"
"90平米  ","3室2厅  ","2600","kaifu"
"90平米  ","2室2厅  ","2000","kaifu"
"145平米  ","4室2厅  ","6500","kaifu"
"131平米  ","4室2厅  ","3600","kaifu"
"76平米  ","2室1厅  ","2400","kaifu"
"200平米  ","4室1厅  ","3000","kaifu"
"96平米  ","3室2厅  ","2500","kaifu"
"127平米  ","3室2厅  ","2700","kaifu"
"45平米  ","1室0厅  ","1650","kaifu"
"88平米  ","2室1厅  ","3000","kaifu"
"106平米  ","3室1厅  ","4000","kaifu"
"136平米  ","4室2厅  ","6500","kaifu"
"77平米  ","2室1厅  ","2500","kaifu"
"50平米  ","1室1厅  ","2250","kaifu"
"50平米  ","1室1厅  ","2500","kaifu"
"50平米  ","1室1厅  ","2400","kaifu"
"130平米  ","3室2厅  ","3000","kaifu"
"199平米  ","4室1厅  ","7500","kaifu"
"90平米  ","3室1厅  ","2600","kaifu"
"100平米  ","3室1厅  ","4000","kaifu"
"123平米  ","3室2厅  ","2800","kaifu"
"260平米  ","4室1厅  ","7500","kaifu"
"133平米  ","3室2厅  ","3600","kaifu"
"89平米  ","3室1厅  ","2800","kaifu"
"131平米  ","3室2厅  ","3200","kaifu"
"140平米  ","3室2厅  ","3280","kaifu"
"202平米  ","4室2厅  ","5000","kaifu"
"169平米  ","4室2厅  ","5500","kaifu"
"89平米  ","2室1厅  ","2300","kaifu"
"187平米  ","3室2厅  ","4000","kaifu"
"90平米  ","3室2厅  ","2700","kaifu"
"93平米  ","2室1厅  ","3500","kaifu"
"130平米  ","3室2厅  ","3300","kaifu"
"53平米  ","1室1厅  ","2500","kaifu"
"82平米  ","3室2厅  ","2000","tianxin"
"120平米  ","3室2厅  ","3300","tianxin"
"95平米  ","3室2厅  ","2800","tianxin"
"90平米  ","2室2厅  ","2400","tianxin"
"54平米  ","2室1厅  ","2300","tianxin"
"145平米  ","4室2厅  ","3200","tianxin"
"53平米  ","2室1厅  ","2200","tianxin"
"155平米  ","6室2厅  ","5000","tianxin"
"120平米  ","3室2厅  ","3000","tianxin"
"75平米  ","2室2厅  ","3500","tianxin"
"252平米  ","4室2厅  ","15000","tianxin"
"50平米  ","1室1厅  ","2250","tianxin"
"50平米  ","1室1厅  ","2250","tianxin"
"50平米  ","1室1厅  ","2250","tianxin"
"75平米  ","2室2厅  ","3500","tianxin"
"160平米  ","3室2厅  ","3200","tianxin"
"144平米  ","4室2厅  ","3800","tianxin"
"143平米  ","2室2厅  ","2600","tianxin"
"131平米  ","3室2厅  ","3000","tianxin"
"137平米  ","3室2厅  ","2500","tianxin"
"81平米  ","2室2厅  ","3200","tianxin"
"85平米  ","2室2厅  ","2000","tianxin"
"50平米  ","1室1厅  ","1650","tianxin"
"97平米  ","3室2厅  ","2200","tianxin"
"160平米  ","4室2厅  ","5200","tianxin"
"109平米  ","3室2厅  ","3000","tianxin"
"62平米  ","2室2厅  ","1800","tianxin"
"87平米  ","2室2厅  ","1850","tianxin"
"145平米  ","4室2厅  ","3500","tianxin"
"45平米  ","1室0厅  ","1600","tianxin"
"89平米  ","2室1厅  ","2600","tianxin"
"138平米  ","3室2厅  ","2500","tianxin"
"54平米  ","1室1厅  ","1700","yuelu"
"153平米  ","4室2厅  ","1800","yuelu"
"107平米  ","3室2厅  ","2500","yuelu"
"135平米  ","3室2厅  ","1900","yuelu"
"130平米  ","3室2厅  ","3000","yuelu"
"96平米  ","3室2厅  ","2600","yuelu"
"123平米  ","3室2厅  ","3200","yuelu"
"135平米  ","4室2厅  ","2700","yuelu"
"125平米  ","3室2厅  ","3000","yuelu"
"129平米  ","3室2厅  ","3000","yuelu"
"89平米  ","3室2厅  ","3000","yuelu"
"96平米  ","3室2厅  ","2200","yuelu"
"118平米  ","3室2厅  ","2900","yuelu"
"45平米  ","1室1厅  ","1400","yuelu"
"105平米  ","2室2厅  ","4000","yuelu"
"89平米  ","3室1厅  ","3000","yuelu"
"48平米  ","1室0厅  ","2500","yuelu"
"47平米  ","1室0厅  ","2000","yuelu"
"50平米  ","2室1厅  ","2000","yuelu"
"87平米  ","2室1厅  ","2200","yuelu"
"100平米  ","3室1厅  ","2100","yuelu"
"100平米  ","3室2厅  ","2600","yuelu"
"130平米  ","3室2厅  ","2800","yuelu"
"120平米  ","3室2厅  ","3200","yuelu"
"131平米  ","3室1厅  ","3500","yuelu"
"39平米  ","1室0厅  ","1800","yuelu"
"70平米  ","2室2厅  ","2400","yuelu"
"151平米  ","4室2厅  ","2500","yuelu"
"140平米  ","3室2厅  ","2200","yuelu"
"83平米  ","2室1厅  ","2000","yuelu"
"94平米  ","3室2厅  ","3500","yuelu"
"107平米  ","3室2厅  ","2500","yuelu"
"85平米  ","2室2厅  ","2000","yuelu"
"93平米  ","3室2厅  ","2600","yuelu"
"98平米  ","2室2厅  ","3500","yuelu"
"138平米  ","3室2厅  ","1800","yuelu"
"118平米  ","4室2厅  ","4600","yuelu"
"139平米  ","3室2厅  ","2800","yuelu"
"106平米  ","3室2厅  ","3000","yuelu"
"92平米  ","2室2厅  ","2300","yuelu"
"115平米  ","3室2厅  ","2800","yuelu"
"88平米  ","2室2厅  ","2500","yuelu"
"143平米  ","3室2厅  ","3500","yuelu"
"41平米  ","1室1厅  ","1800","yuelu"
"141平米  ","3室2厅  ","4300","yuelu"
"108平米  ","3室2厅  ","2300","yuelu"
"89平米  ","3室2厅  ","1800","yuelu"
"43平米  ","1室1厅  ","1500","yuelu"
"40平米  ","1室1厅  ","1800","yuelu"
"94平米  ","3室2厅  ","3000","yuelu"
"33平米  ","1室1厅  ","1800","yuelu"
"82平米  ","2室1厅  ","2700","yuelu"
"90平米  ","3室2厅  ","2500","yuhua"
"45平米  ","1室1厅  ","1800","yuhua"
"80平米  ","2室2厅  ","2200","yuhua"
"101平米  ","3室2厅  ","2600","yuhua"
"142平米  ","4室2厅  ","2500","yuhua"
"133平米  ","3室2厅  ","3400","yuhua"
"110平米  ","3室1厅  ","3000","yuhua"
"85平米  ","2室1厅  ","2600","yuhua"
"46平米  ","2室1厅  ","2600","yuhua"
"46平米  ","1室1厅  ","2200","yuhua"
"101平米  ","2室2厅  ","2500","yuhua"
"56平米  ","1室1厅  ","1300","yuhua"
"169平米  ","4室2厅  ","4300","yuhua"
"90平米  ","3室2厅  ","2500","yuhua"
"128平米  ","3室2厅  ","3000","yuhua"
"242平米  ","5室3厅  ","9000","yuhua"
"80平米  ","2室2厅  ","2400","yuhua"
"99平米  ","3室2厅  ","2800","yuhua"
"170平米  ","4室2厅  ","3500","yuhua"
"42平米  ","1室1厅  ","1600","yuhua"
"50平米  ","1室1厅  ","1800","yuhua"
"130平米  ","3室2厅  ","2600","yuhua"
"95平米  ","3室1厅  ","2000","yuhua"
"64平米  ","2室1厅  ","1400","yuhua"
"62平米  ","2室1厅  ","2000","yuhua"
"190平米  ","4室2厅  ","5500","yuhua"
"90平米  ","3室2厅  ","1800","yuhua"
